Fecha,Value (TCM)
07/09/1965 00:00,2046111.9
08/09/1965 00:00,2043891.7
09/09/1965 00:00,2042288.1
10/09/1965 00:00,2040067.9
11/09/1965 00:00,2037724.2
12/09/1965 00:00,2034763.8
13/09/1965 00:00,2030199.9
14/09/1965 00:00,2023539.1
15/09/1965 00:00,2016631.6
16/09/1965 00:00,2007627.1
17/09/1965 00:00,1996402.3
18/09/1965 00:00,1982957.3
19/09/1965 00:00,1970992.5
20/09/1965 00:00,1959151
21/09/1965 00:00,1948049.6
22/09/1965 00:00,1946569.4
23/09/1965 00:00,1949529.7
24/09/1965 00:00,1961371.2
25/09/1965 00:00,1972472.6
26/09/1965 00:00,1993318.6
27/09/1965 00:00,2011820.9
28/09/1965 00:00,2023415.7
29/09/1965 00:00,2029459.8
30/09/1965 00:00,2034763.8
01/10/1965 00:00,2039327.8
02/10/1965 00:00,2046111.9
03/10/1965 00:00,2062147.3
04/10/1965 00:00,2072015.2
05/10/1965 00:00,2075839
06/10/1965 00:00,2080526.3
07/10/1965 00:00,2085090.2
08/10/1965 00:00,2088914
09/10/1965 00:00,2091997.7
10/10/1965 00:00,2095821.6
11/10/1965 00:00,2100508.8
12/10/1965 00:00,2100508.8
13/10/1965 00:00,2101248.9
14/10/1965 00:00,2101989
15/10/1965 00:00,2101989
16/10/1965 00:00,2101248.9
17/10/1965 00:00,2101248.9
18/10/1965 00:00,2103592.5
19/10/1965 00:00,2106676.3
20/10/1965 00:00,2110500.1
21/10/1965 00:00,2113583.8
22/10/1965 00:00,2115927.4
23/10/1965 00:00,2117531
24/10/1965 00:00,2119011.2
25/10/1965 00:00,2119011.2
26/10/1965 00:00,2119011.2
27/10/1965 00:00,2117531
28/10/1965 00:00,2116667.5
29/10/1965 00:00,2117531
30/10/1965 00:00,2117531
31/10/1965 00:00,2116667.5
01/11/1965 00:00,2116667.5
02/11/1965 00:00,2116667.5
03/11/1965 00:00,2117531
04/11/1965 00:00,2117531
05/11/1965 00:00,2117531
06/11/1965 00:00,2118271.1
07/11/1965 00:00,2119011.2
08/11/1965 00:00,2129865.9
09/11/1965 00:00,2146271.3
10/11/1965 00:00,2157989.4
11/11/1965 00:00,2164280.2
12/11/1965 00:00,2166623.8
13/11/1965 00:00,2168227.4
14/11/1965 00:00,2170571
15/11/1965 00:00,2173778.1
16/11/1965 00:00,2176861.8
17/11/1965 00:00,2177725.3
18/11/1965 00:00,2177725.3
19/11/1965 00:00,2179205.4
20/11/1965 00:00,2180809
21/11/1965 00:00,2184016
22/11/1965 00:00,2184016
23/11/1965 00:00,2184016
24/11/1965 00:00,2184756.1
25/11/1965 00:00,2184509.4
26/11/1965 00:00,2187963.2
27/11/1965 00:00,2189566.7
28/11/1965 00:00,2191910.4
29/11/1965 00:00,2191046.9
30/11/1965 00:00,2188703.3
01/12/1965 00:00,2187963.2
02/12/1965 00:00,2195117.4
03/12/1965 00:00,2206218.9
04/12/1965 00:00,2216456.8
05/12/1965 00:00,2220527.3
06/12/1965 00:00,2225337.9
07/12/1965 00:00,2228421.7
08/12/1965 00:00,2230025.2
09/12/1965 00:00,2230025.2
10/12/1965 00:00,2232492.2
11/12/1965 00:00,2235699.2
12/12/1965 00:00,2238042.9
13/12/1965 00:00,2238906.3
14/12/1965 00:00,2241249.9
15/12/1965 00:00,2245320.5
16/12/1965 00:00,2258148.7
17/12/1965 00:00,2261355.8
18/12/1965 00:00,2262959.4
19/12/1965 00:00,2262219.3
20/12/1965 00:00,2264686.2
21/12/1965 00:00,2263822.8
22/12/1965 00:00,2263822.8
23/12/1965 00:00,2266289.8
24/12/1965 00:00,2270236.9
25/12/1965 00:00,2271100.4
26/12/1965 00:00,2272703.9
27/12/1965 00:00,2273567.4
28/12/1965 00:00,2274307.5
29/12/1965 00:00,2275170.9
30/12/1965 00:00,2275911
31/12/1965 00:00,2276774.4
01/01/1966 00:00,2277514.5
02/01/1966 00:00,2279241.4
03/01/1966 00:00,2282448.5
04/01/1966 00:00,2284052
05/01/1966 00:00,2284052
06/01/1966 00:00,2284915.5
07/01/1966 00:00,2285655.6
08/01/1966 00:00,2285655.6
09/01/1966 00:00,2286519
10/01/1966 00:00,2288862.6
11/01/1966 00:00,2288122.5
12/01/1966 00:00,2289726.1
13/01/1966 00:00,2292193.1
14/01/1966 00:00,2292193.1
15/01/1966 00:00,2291329.6
16/01/1966 00:00,2291329.6
17/01/1966 00:00,2296263.6
18/01/1966 00:00,2297867.1
19/01/1966 00:00,2297867.1
20/01/1966 00:00,2297867.1
21/01/1966 00:00,2302801.1
22/01/1966 00:00,2304404.6
23/01/1966 00:00,2306008.1
24/01/1966 00:00,2310078.6
25/01/1966 00:00,2310942.1
26/01/1966 00:00,2310078.6
27/01/1966 00:00,2310078.6
28/01/1966 00:00,2310942.1
29/01/1966 00:00,2311682.2
30/01/1966 00:00,2312545.6
31/01/1966 00:00,2312545.6
01/02/1966 00:00,2315752.7
02/02/1966 00:00,2318219.7
03/02/1966 00:00,2318219.7
04/02/1966 00:00,2319083.1
05/02/1966 00:00,2320686.7
06/02/1966 00:00,2321550.1
07/02/1966 00:00,2322413.5
08/02/1966 00:00,2324880.5
09/02/1966 00:00,2327224.1
10/02/1966 00:00,2328951
11/02/1966 00:00,2329691.1
12/02/1966 00:00,2329691.1
13/02/1966 00:00,2330554.6
14/02/1966 00:00,2333021.5
15/02/1966 00:00,2335488.5
16/02/1966 00:00,2335488.5
17/02/1966 00:00,2335488.5
18/02/1966 00:00,2336352
19/02/1966 00:00,2336352
20/02/1966 00:00,2337092.1
21/02/1966 00:00,2342889.5
22/02/1966 00:00,2342889.5
23/02/1966 00:00,2343752.9
24/02/1966 00:00,2344493
25/02/1966 00:00,2345356.4
26/02/1966 00:00,2347083.3
27/02/1966 00:00,2349550.3
28/02/1966 00:00,2351153.8
01/03/1966 00:00,2349550.3
02/03/1966 00:00,2351153.8
03/03/1966 00:00,2352757.4
04/03/1966 00:00,2352757.4
05/03/1966 00:00,2352757.4
06/03/1966 00:00,2352017.3
07/03/1966 00:00,2351153.8
08/03/1966 00:00,2351153.8
09/03/1966 00:00,2352017.3
10/03/1966 00:00,2352017.3
11/03/1966 00:00,2353620.8
12/03/1966 00:00,2355224.4
13/03/1966 00:00,2356951.2
14/03/1966 00:00,2356951.2
15/03/1966 00:00,2356951.2
16/03/1966 00:00,2356951.2
17/03/1966 00:00,2356951.2
18/03/1966 00:00,2357814.7
19/03/1966 00:00,2356951.2
20/03/1966 00:00,2356087.8
21/03/1966 00:00,2356087.8
22/03/1966 00:00,2356087.8
23/03/1966 00:00,2355224.4
24/03/1966 00:00,2354484.3
25/03/1966 00:00,2352757.4
26/03/1966 00:00,2352017.3
27/03/1966 00:00,2351153.8
28/03/1966 00:00,2352757.4
29/03/1966 00:00,2354484.3
30/03/1966 00:00,2356087.8
31/03/1966 00:00,2356951.2
01/04/1966 00:00,2357814.7
02/04/1966 00:00,2358554.8
03/04/1966 00:00,2359418.2
04/04/1966 00:00,2358554.8
05/04/1966 00:00,2355224.4
06/04/1966 00:00,2349550.3
07/04/1966 00:00,2345356.4
08/04/1966 00:00,2340422.5
09/04/1966 00:00,2336352
10/04/1966 00:00,2332158.1
11/04/1966 00:00,2327224.1
12/04/1966 00:00,2322413.5
13/04/1966 00:00,2320686.7
14/04/1966 00:00,2374343.4
15/04/1966 00:00,2381867.7
16/04/1966 00:00,2388528.6
17/04/1966 00:00,2396052.8
18/04/1966 00:00,2391859
19/04/1966 00:00,2387665.1
20/04/1966 00:00,2382731.2
21/04/1966 00:00,2378537.3
22/04/1966 00:00,2377673.9
23/04/1966 00:00,2377673.9
24/04/1966 00:00,2378537.3
25/04/1966 00:00,2384334.7
26/04/1966 00:00,2407771
27/04/1966 00:00,2438978.3
28/04/1966 00:00,2465498.3
29/04/1966 00:00,2481780.3
30/04/1966 00:00,2485234.1
01/05/1966 00:00,2543331.5
02/05/1966 00:00,2650891.7
03/05/1966 00:00,2735755.8
04/05/1966 00:00,2804707.8
05/05/1966 00:00,2852937.3
06/05/1966 00:00,2878717.2
07/05/1966 00:00,2895986
08/05/1966 00:00,2907457.5
09/05/1966 00:00,2915228.5
10/05/1966 00:00,2918065.5
11/05/1966 00:00,2923862.9
12/05/1966 00:00,2930647.1
13/05/1966 00:00,2934594.2
14/05/1966 00:00,2937431.3
15/05/1966 00:00,2939404.9
16/05/1966 00:00,2943228.7
17/05/1966 00:00,2946189
18/05/1966 00:00,2949149.4
19/05/1966 00:00,2952973.2
20/05/1966 00:00,2958770.6
21/05/1966 00:00,2977396.3
22/05/1966 00:00,2994048.4
23/05/1966 00:00,3000832.6
24/05/1966 00:00,3004779.8
25/05/1966 00:00,3008727
26/05/1966 00:00,3018594.9
27/05/1966 00:00,3030436.4
28/05/1966 00:00,3036357.1
29/05/1966 00:00,3042401.2
30/05/1966 00:00,3044374.8
31/05/1966 00:00,3043388
01/06/1966 00:00,3040304.3
02/06/1966 00:00,3032409.9
03/06/1966 00:00,3023528.8
04/06/1966 00:00,3015634.5
05/06/1966 00:00,3006753.4
06/06/1966 00:00,2997008.8
07/06/1966 00:00,2987140.9
08/06/1966 00:00,2973449.2
09/06/1966 00:00,2959757.4
10/06/1966 00:00,2941378.4
11/06/1966 00:00,2922999.4
12/06/1966 00:00,2905607.3
13/06/1966 00:00,2897959.6
14/06/1966 00:00,2904620.5
15/06/1966 00:00,2918065.5
16/06/1966 00:00,2928796.8
17/06/1966 00:00,2934594.2
18/06/1966 00:00,2936444.5
19/06/1966 00:00,2940391.6
20/06/1966 00:00,2944215.5
21/06/1966 00:00,2948162.6
22/06/1966 00:00,2954946.8
23/06/1966 00:00,2960744.2
24/06/1966 00:00,2966665
25/06/1966 00:00,2973449.2
26/06/1966 00:00,2977396.3
27/06/1966 00:00,2983193.7
28/06/1966 00:00,2989114.5
29/06/1966 00:00,2994048.4
30/06/1966 00:00,2986154.1
01/07/1966 00:00,2965308.1
02/07/1966 00:00,2950999.7
03/07/1966 00:00,2940391.6
04/07/1966 00:00,2932620.7
05/07/1966 00:00,2928796.8
06/07/1966 00:00,2927810.1
07/07/1966 00:00,2927810.1
08/07/1966 00:00,2929660.3
09/07/1966 00:00,2932620.7
10/07/1966 00:00,2935457.7
11/07/1966 00:00,2938418.1
12/07/1966 00:00,2940391.6
13/07/1966 00:00,2937431.3
14/07/1966 00:00,2936444.5
15/07/1966 00:00,2936444.5
16/07/1966 00:00,2935457.7
17/07/1966 00:00,2934594.2
18/07/1966 00:00,2935457.7
